GOPs	GOP/s	M	K	N
0.033554432	188.2246505	256	256	256
0.067108864	119.5501234	256	512	256
0.134217728	663.3998359	256	512	512
0.268435456	1182.889394	512	512	512
0.536870912	1408.847464	256	2048	512
1.073741824	2841.030277	256	2048	1024
2.147483648	3228.051186	512	1024	2048
4.294967296	2083.509489	2048	2048	512
8.589934592	3456.227329	4096	2048	512
17.17986918	4273.439843	4096	4096	512
34.35973837	4318.1775	2048	4096	2048
68.71947674	4601.668502	4096	4096	2048
137.4389535	3978.248951	4096	4096	4096
