m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,16,8,8,16,5703.55,5818.0,5407.0
1024,1024,1024,16,8,8,32,6728.5,7227.0,6316.0
1024,1024,1024,16,8,8,64,6522.6,7276.0,5887.0
1024,1024,1024,16,8,8,128,5895.7,6292.0,5568.0
1024,1024,1024,16,8,8,256,0.0,0.0,0.0
1024,1024,1024,16,16,8,16,5669.2,6073.0,5401.0
1024,1024,1024,16,16,8,32,6948.45,7513.0,6372.0
1024,1024,1024,16,16,8,64,6269.5,6682.0,5780.0
1024,1024,1024,16,16,8,128,5958.1,6298.0,5684.0
1024,1024,1024,16,16,8,256,5497.35,5878.0,5353.0
1024,1024,1024,16,16,16,16,0.0,0.0,0.0
1024,1024,1024,16,16,16,32,5109.85,5827.0,4797.0
1024,1024,1024,16,16,16,64,4420.55,4774.0,4351.0
1024,1024,1024,16,16,16,128,4488.5,4665.0,4203.0
1024,1024,1024,16,16,16,256,4398.85,5030.0,4129.0
1024,1024,1024,16,32,8,16,0.0,0.0,0.0
1024,1024,1024,16,32,8,32,6838.75,7483.0,6389.0
1024,1024,1024,16,32,8,64,0.0,0.0,0.0
1024,1024,1024,16,32,8,128,6117.2,6415.0,5777.0
1024,1024,1024,16,32,8,256,5713.25,6058.0,5413.0
1024,1024,1024,16,32,16,16,4192.95,4517.0,3914.0
1024,1024,1024,16,32,16,32,6158.05,6552.0,5580.0
1024,1024,1024,16,32,16,64,4777.9,5643.0,4375.0
1024,1024,1024,16,32,16,128,4666.5,5707.0,4272.0
1024,1024,1024,16,32,16,256,4523.95,4694.0,4235.0
1024,1024,1024,16,32,32,16,7012.95,7300.0,6726.0
1024,1024,1024,16,32,32,32,7108.95,7401.0,6661.0
1024,1024,1024,16,32,32,64,6617.5,7335.0,6414.0
1024,1024,1024,16,32,32,128,6381.45,6696.0,6047.0
1024,1024,1024,16,32,32,256,6370.85,6577.0,6083.0
1024,1024,1024,16,64,8,16,6112.9,7471.0,5433.0
1024,1024,1024,16,64,8,32,7421.3,7919.0,6627.0
1024,1024,1024,16,64,8,64,7129.5,7729.0,6302.0
1024,1024,1024,16,64,8,128,5850.35,6466.0,5497.0
1024,1024,1024,16,64,8,256,5628.7,5909.0,5386.0
1024,1024,1024,16,64,16,16,5492.55,5923.0,3986.0
1024,1024,1024,16,64,16,32,5418.45,6378.0,4934.0
1024,1024,1024,16,64,16,64,0.0,0.0,0.0
1024,1024,1024,16,64,16,128,4568.15,4874.0,4209.0
1024,1024,1024,16,64,16,256,4463.25,4741.0,4155.0
1024,1024,1024,16,64,32,16,7910.05,8233.0,7570.0
1024,1024,1024,16,64,32,32,7022.55,7476.0,6460.0
1024,1024,1024,16,64,32,64,6562.9,6973.0,6175.0
1024,1024,1024,16,64,32,128,6345.4,6575.0,6040.0
1024,1024,1024,16,64,32,256,0.0,0.0,0.0
1024,1024,1024,16,64,64,16,7092.05,7916.0,6661.0
1024,1024,1024,16,64,64,32,6623.85,7168.0,6355.0
1024,1024,1024,16,64,64,64,6601.4,7036.0,6202.0
1024,1024,1024,16,64,64,128,6475.55,6926.0,6151.0
1024,1024,1024,16,128,8,16,6400.95,8078.0,5448.0
1024,1024,1024,16,128,8,32,6728.15,7876.0,6322.0
1024,1024,1024,16,128,8,64,6247.6,6595.0,5934.0
1024,1024,1024,16,128,8,128,0.0,0.0,0.0
1024,1024,1024,16,128,8,256,5512.95,5602.0,5440.0
1024,1024,1024,16,128,16,16,5505.45,6539.0,4211.0
1024,1024,1024,16,128,16,32,5594.55,7152.0,4794.0
1024,1024,1024,16,128,16,64,4640.15,5585.0,4344.0
1024,1024,1024,16,128,16,128,4377.15,5006.0,4153.0
1024,1024,1024,16,128,16,256,4495.1,4726.0,4232.0
1024,1024,1024,16,128,32,16,0.0,0.0,0.0
1024,1024,1024,16,128,32,32,7332.95,7707.0,6891.0
1024,1024,1024,16,128,32,64,6549.3,7090.0,6142.0
1024,1024,1024,16,128,32,128,6276.7,6778.0,6047.0
1024,1024,1024,16,128,32,256,6246.15,6471.0,6137.0
1024,1024,1024,16,128,64,16,7320.4,8222.0,6667.0
1024,1024,1024,16,128,64,32,6628.5,6790.0,6369.0
1024,1024,1024,16,128,64,64,6714.5,6938.0,6349.0
1024,1024,1024,16,128,64,128,6468.45,6742.0,6207.0
1024,1024,1024,16,128,128,16,7454.65,8059.0,6924.0
1024,1024,1024,16,128,128,32,0.0,0.0,0.0
1024,1024,1024,16,128,128,64,6723.4,6871.0,6270.0
1024,1024,1024,16,256,8,16,5780.7,5949.0,5504.0
1024,1024,1024,16,256,8,32,6657.75,6836.0,6388.0
1024,1024,1024,16,256,8,64,6137.7,6611.0,5835.0
1024,1024,1024,16,256,8,128,5840.4,6616.0,5450.0
1024,1024,1024,16,256,8,256,5530.15,5641.0,5468.0
