m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,32,32,8,32,6151.55,6459.0,5880.0
1024,1024,1024,32,32,8,64,5691.2,5973.0,5636.0
1024,1024,1024,32,32,8,128,5734.15,6228.0,5468.0
1024,1024,1024,32,32,8,256,5716.4,5953.0,5442.0
1024,1024,1024,32,32,16,32,4959.2,5197.0,4632.0
1024,1024,1024,32,32,16,64,4258.15,4360.0,4222.0
1024,1024,1024,32,32,16,128,4411.05,4585.0,4140.0
1024,1024,1024,32,32,16,256,4426.65,4747.0,4079.0
1024,1024,1024,32,32,32,32,6735.5,7055.0,6353.0
1024,1024,1024,32,32,32,64,6484.05,6783.0,6296.0
1024,1024,1024,32,32,32,128,6341.75,6515.0,6072.0
1024,1024,1024,32,32,32,256,6284.65,6542.0,6000.0
1024,1024,1024,32,64,8,32,6209.65,6393.0,5974.0
1024,1024,1024,32,64,8,64,5915.5,6250.0,5664.0
1024,1024,1024,32,64,8,128,5874.6,6354.0,5548.0
1024,1024,1024,32,64,8,256,5735.1,5956.0,5449.0
1024,1024,1024,32,64,16,32,4959.8,6221.0,4601.0
1024,1024,1024,32,64,16,64,4319.65,4605.0,4248.0
1024,1024,1024,32,64,16,128,4130.05,4152.0,4117.0
1024,1024,1024,32,64,16,256,4385.25,4598.0,4117.0
1024,1024,1024,32,64,32,32,0.0,0.0,0.0
1024,1024,1024,32,64,32,64,6511.85,6794.0,6131.0
1024,1024,1024,32,64,32,128,6300.45,6549.0,6062.0
1024,1024,1024,32,64,32,256,6243.2,6613.0,6013.0
1024,1024,1024,32,64,64,32,6498.25,7183.0,6209.0
1024,1024,1024,32,64,64,64,6220.8,6317.0,6123.0
1024,1024,1024,32,64,64,128,6330.05,6511.0,6087.0
1024,1024,1024,32,128,8,32,6355.75,6580.0,5981.0
1024,1024,1024,32,128,8,64,6071.8,6428.0,5690.0
1024,1024,1024,32,128,8,128,5868.6,5988.0,5527.0
1024,1024,1024,32,128,8,256,5498.1,5549.0,5472.0
1024,1024,1024,32,128,16,32,5167.15,5345.0,4838.0
1024,1024,1024,32,128,16,64,4636.25,4899.0,4374.0
1024,1024,1024,32,128,16,128,4469.25,4619.0,4245.0
1024,1024,1024,32,128,16,256,4328.25,4560.0,4056.0
1024,1024,1024,32,128,32,32,6803.5,7000.0,6407.0
1024,1024,1024,32,128,32,64,6352.65,6590.0,6068.0
1024,1024,1024,32,128,32,128,6200.2,6554.0,6008.0
1024,1024,1024,32,128,32,256,6074.35,6137.0,6045.0
1024,1024,1024,32,128,64,32,0.0,0.0,0.0
1024,1024,1024,32,128,64,64,6458.75,6888.0,6190.0
1024,1024,1024,32,128,64,128,6457.65,6728.0,6223.0
1024,1024,1024,32,128,128,32,6838.05,7011.0,6513.0
1024,1024,1024,32,128,128,64,6615.4,6770.0,6565.0
1024,1024,1024,32,256,8,32,6488.6,6819.0,6147.0
1024,1024,1024,32,256,8,64,6080.25,6384.0,5696.0
1024,1024,1024,32,256,8,128,5861.5,6404.0,5549.0
1024,1024,1024,32,256,8,256,5568.95,6010.0,5478.0
1024,1024,1024,32,256,16,32,4813.3,5290.0,4621.0
1024,1024,1024,32,256,16,64,4586.1,4695.0,4557.0
1024,1024,1024,32,256,16,128,4342.75,4838.0,4147.0
1024,1024,1024,32,256,16,256,4358.25,4451.0,4119.0
1024,1024,1024,32,256,32,32,6508.7,6804.0,6239.0
1024,1024,1024,32,256,32,64,6514.7,6792.0,6190.0
1024,1024,1024,32,256,32,128,6328.55,6631.0,6090.0
1024,1024,1024,32,256,32,256,6317.85,6882.0,6019.0
1024,1024,1024,32,256,64,32,6373.5,6794.0,6234.0
1024,1024,1024,32,256,64,64,0.0,0.0,0.0
1024,1024,1024,32,256,64,128,6360.35,6601.0,6142.0
1024,1024,1024,32,256,128,32,6776.5,7030.0,6462.0
