m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,16,8,8,16,5840.35,6104.0,5500.0
1024,1024,1024,16,8,8,32,3063.15,3270.0,2984.0
1024,1024,1024,16,8,8,64,1705.2,2006.0,1465.0
1024,1024,1024,16,8,8,128,1374.85,1613.0,1107.0
1024,1024,1024,16,8,8,256,969.5,1368.0,775.0
1024,1024,1024,16,16,8,16,4019.15,4182.0,3722.0
1024,1024,1024,16,16,8,32,2016.45,2408.0,1978.0
1024,1024,1024,16,16,8,64,1171.8,1185.0,1165.0
1024,1024,1024,16,16,8,128,1071.85,1430.0,743.0
1024,1024,1024,16,16,8,256,963.05,1317.0,649.0
1024,1024,1024,16,16,16,16,4076.85,4299.0,3731.0
1024,1024,1024,16,16,16,32,2279.25,2438.0,2006.0
1024,1024,1024,16,16,16,64,1329.3,1823.0,1119.0
1024,1024,1024,16,16,16,128,921.5,1429.0,734.0
1024,1024,1024,16,16,16,256,866.05,1200.0,606.0
1024,1024,1024,16,32,8,16,3143.7,3436.0,2930.0
1024,1024,1024,16,32,8,32,1779.5,2148.0,1531.0
1024,1024,1024,16,32,8,64,920.6,969.0,893.0
1024,1024,1024,16,32,8,128,620.8,651.0,602.0
1024,1024,1024,16,32,8,256,0.0,0.0,0.0
1024,1024,1024,16,32,16,16,3172.6,3450.0,2899.0
1024,1024,1024,16,32,16,32,1531.5,1573.0,1518.0
1024,1024,1024,16,32,16,64,954.2,1217.0,889.0
1024,1024,1024,16,32,16,128,880.5,1222.0,587.0
1024,1024,1024,16,32,16,256,782.75,1125.0,542.0
1024,1024,1024,16,32,32,16,3354.8,3528.0,3074.0
1024,1024,1024,16,32,32,32,1873.1,2376.0,1664.0
1024,1024,1024,16,32,32,64,1065.4,1635.0,901.0
1024,1024,1024,16,32,32,128,0.0,0.0,0.0
1024,1024,1024,16,32,32,256,570.95,839.0,533.0
1024,1024,1024,16,64,8,16,3073.8,3304.0,2776.0
1024,1024,1024,16,64,8,32,0.0,0.0,0.0
1024,1024,1024,16,64,8,64,1215.1,1596.0,886.0
1024,1024,1024,16,64,8,128,749.85,1187.0,645.0
1024,1024,1024,16,64,8,256,553.2,573.0,541.0
1024,1024,1024,16,64,16,16,3083.8,3672.0,2796.0
1024,1024,1024,16,64,16,32,1466.9,1767.0,1436.0
1024,1024,1024,16,64,16,64,890.1,938.0,864.0
1024,1024,1024,16,64,16,128,639.65,685.0,624.0
1024,1024,1024,16,64,16,256,814.9,1176.0,544.0
1024,1024,1024,16,64,32,16,3023.9,3378.0,2787.0
1024,1024,1024,16,64,32,32,1824.85,2112.0,1495.0
1024,1024,1024,16,64,32,64,901.4,923.0,875.0
1024,1024,1024,16,64,32,128,769.05,1260.0,622.0
1024,1024,1024,16,64,32,256,0.0,0.0,0.0
1024,1024,1024,16,64,64,16,2932.85,3254.0,2751.0
1024,1024,1024,16,64,64,32,0.0,0.0,0.0
1024,1024,1024,16,64,64,64,894.05,900.0,880.0
1024,1024,1024,16,64,64,128,624.45,669.0,617.0
1024,1024,1024,16,128,8,16,2738.15,3341.0,2677.0
1024,1024,1024,16,128,8,32,1428.15,1457.0,1419.0
1024,1024,1024,16,128,8,64,0.0,0.0,0.0
1024,1024,1024,16,128,8,128,884.85,1276.0,636.0
1024,1024,1024,16,128,8,256,818.3,1235.0,563.0
1024,1024,1024,16,128,16,16,3053.05,3533.0,2687.0
1024,1024,1024,16,128,16,32,1623.35,1923.0,1396.0
1024,1024,1024,16,128,16,64,1127.7,1474.0,833.0
1024,1024,1024,16,128,16,128,617.5,635.0,604.0
1024,1024,1024,16,128,16,256,539.55,561.0,529.0
1024,1024,1024,16,128,32,16,3016.1,3292.0,2709.0
1024,1024,1024,16,128,32,32,1702.55,2021.0,1433.0
1024,1024,1024,16,128,32,64,1136.7,1484.0,826.0
1024,1024,1024,16,128,32,128,766.05,1158.0,610.0
1024,1024,1024,16,128,32,256,0.0,0.0,0.0
1024,1024,1024,16,128,64,16,3013.95,3326.0,2701.0
1024,1024,1024,16,128,64,32,1619.1,1935.0,1404.0
1024,1024,1024,16,128,64,64,1184.2,1517.0,841.0
1024,1024,1024,16,128,64,128,704.65,1182.0,588.0
1024,1024,1024,16,128,128,16,3059.95,3271.0,2713.0
1024,1024,1024,16,128,128,32,1614.3,2080.0,1378.0
1024,1024,1024,16,128,128,64,1144.95,1548.0,849.0
1024,1024,1024,16,256,8,16,0.0,0.0,0.0
1024,1024,1024,16,256,8,32,1725.75,1973.0,1637.0
1024,1024,1024,16,256,8,64,1181.75,1478.0,796.0
1024,1024,1024,16,256,8,128,632.6,911.0,578.0
1024,1024,1024,16,256,8,256,0.0,0.0,0.0
1024,1024,1024,16,256,16,16,2792.3,3499.0,2624.0
1024,1024,1024,16,256,16,32,1602.05,1985.0,1375.0
1024,1024,1024,16,256,16,64,777.65,791.0,765.0
1024,1024,1024,16,256,16,128,571.5,582.0,567.0
1024,1024,1024,16,256,16,256,647.2,1126.0,526.0
1024,1024,1024,16,256,32,16,2859.45,3261.0,2578.0
1024,1024,1024,16,256,32,32,1565.75,1946.0,1353.0
1024,1024,1024,16,256,32,64,1134.85,1392.0,800.0
1024,1024,1024,16,256,32,128,559.2,573.0,552.0
1024,1024,1024,16,256,32,256,524.15,544.0,514.0
1024,1024,1024,16,256,64,16,2784.15,3063.0,2662.0
1024,1024,1024,16,256,64,32,1349.7,1364.0,1337.0
1024,1024,1024,16,256,64,64,1060.75,1351.0,806.0
1024,1024,1024,16,256,64,128,803.4,1040.0,564.0
1024,1024,1024,16,256,128,16,2931.55,3161.0,2611.0
1024,1024,1024,16,256,128,32,1711.25,2038.0,1620.0
1024,1024,1024,16,256,128,64,876.2,1267.0,796.0
1024,1024,1024,16,256,256,16,3005.05,3239.0,2681.0
1024,1024,1024,16,256,256,32,1533.2,1885.0,1323.0
1024,1024,1024,16,512,8,16,2830.05,3546.0,2622.0
1024,1024,1024,16,512,8,32,1438.9,1454.0,1425.0
1024,1024,1024,16,512,8,64,909.3,1507.0,802.0
1024,1024,1024,16,512,8,128,926.95,1278.0,596.0
1024,1024,1024,16,512,8,256,0.0,0.0,0.0
1024,1024,1024,16,512,16,16,2881.3,3222.0,2568.0
1024,1024,1024,16,512,16,32,1546.5,1738.0,1391.0
1024,1024,1024,16,512,16,64,1132.75,1496.0,791.0
1024,1024,1024,16,512,16,128,574.8,604.0,565.0
1024,1024,1024,16,512,16,256,927.9,1209.0,612.0
1024,1024,1024,16,512,32,16,2944.15,3337.0,2656.0
1024,1024,1024,16,512,32,32,1700.3,1990.0,1514.0
1024,1024,1024,16,512,32,64,1034.85,1403.0,784.0
1024,1024,1024,16,512,32,128,841.05,1269.0,563.0
1024,1024,1024,16,512,32,256,958.4,1198.0,590.0
1024,1024,1024,16,512,64,16,2973.65,3266.0,2638.0
1024,1024,1024,16,512,64,32,1744.55,2106.0,1407.0
1024,1024,1024,16,512,64,64,1131.5,1486.0,827.0
1024,1024,1024,16,512,64,128,566.9,585.0,561.0
1024,1024,1024,16,512,128,16,2993.2,3468.0,2860.0
1024,1024,1024,16,512,128,32,1363.45,1509.0,1342.0
1024,1024,1024,16,512,128,64,787.05,840.0,778.0
1024,1024,1024,16,512,256,16,2880.65,3330.0,2559.0
1024,1024,1024,16,512,256,32,1342.8,1368.0,1332.0
1024,1024,1024,16,1024,8,16,3132.55,3164.0,3118.0
1024,1024,1024,16,1024,8,32,2093.75,2551.0,1941.0
1024,1024,1024,16,1024,8,64,1436.15,1588.0,1243.0
1024,1024,1024,16,1024,8,128,1240.65,1468.0,922.0
1024,1024,1024,16,1024,8,256,1342.2,1615.0,950.0
1024,1024,1024,16,1024,16,16,2544.7,2572.0,2526.0
1024,1024,1024,16,1024,16,32,2008.25,2366.0,1750.0
1024,1024,1024,16,1024,16,64,1489.5,1693.0,1145.0
1024,1024,1024,16,1024,16,128,1083.75,1568.0,864.0
1024,1024,1024,16,1024,16,256,1127.7,1462.0,834.0
1024,1024,1024,16,1024,32,16,2873.55,3433.0,2603.0
1024,1024,1024,16,1024,32,32,1613.3,1625.0,1588.0
1024,1024,1024,16,1024,32,64,1379.4,1620.0,1037.0
1024,1024,1024,16,1024,32,128,1094.3,1419.0,784.0
1024,1024,1024,16,1024,32,256,958.15,1384.0,791.0
1024,1024,1024,16,1024,64,16,2747.1,2938.0,2471.0
1024,1024,1024,16,1024,64,32,2018.05,2141.0,1885.0
1024,1024,1024,16,1024,64,64,1519.95,1636.0,1341.0
1024,1024,1024,16,1024,64,128,788.3,843.0,777.0
1024,1024,1024,16,1024,128,16,2406.65,2457.0,2391.0
1024,1024,1024,16,1024,128,32,1723.65,1985.0,1578.0
1024,1024,1024,16,1024,128,64,988.3,1010.0,974.0
1024,1024,1024,16,1024,256,16,2875.25,3283.0,2585.0
1024,1024,1024,16,1024,256,32,1571.6,1613.0,1560.0
1024,1024,1024,32,8,8,16,5231.7,5605.0,5081.0
1024,1024,1024,32,8,8,32,2959.4,3442.0,2820.0
1024,1024,1024,32,8,8,64,1597.65,2064.0,1404.0
1024,1024,1024,32,8,8,128,814.9,881.0,799.0
1024,1024,1024,32,8,8,256,842.75,1307.0,677.0
1024,1024,1024,32,16,8,16,3494.75,4220.0,3065.0
1024,1024,1024,32,16,8,32,0.0,0.0,0.0
1024,1024,1024,32,16,8,64,1235.65,1562.0,911.0
1024,1024,1024,32,16,8,128,808.7,1145.0,639.0
1024,1024,1024,32,16,8,256,533.45,804.0,504.0
1024,1024,1024,32,16,16,16,3046.15,3217.0,2829.0
1024,1024,1024,32,16,16,32,1997.9,2115.0,1844.0
1024,1024,1024,32,16,16,64,1223.05,1586.0,871.0
1024,1024,1024,32,16,16,128,952.15,1270.0,619.0
1024,1024,1024,32,16,16,256,470.55,490.0,454.0
1024,1024,1024,32,32,8,16,2453.1,2604.0,2416.0
1024,1024,1024,32,32,8,32,1317.05,1757.0,1142.0
1024,1024,1024,32,32,8,64,996.85,1294.0,696.0
1024,1024,1024,32,32,8,128,502.65,507.0,494.0
1024,1024,1024,32,32,8,256,0.0,0.0,0.0
1024,1024,1024,32,32,16,16,2394.25,2555.0,2123.0
1024,1024,1024,32,32,16,32,1456.8,1754.0,1090.0
1024,1024,1024,32,32,16,64,1011.45,1362.0,679.0
1024,1024,1024,32,32,16,128,505.7,826.0,474.0
1024,1024,1024,32,32,16,256,466.8,769.0,439.0
1024,1024,1024,32,32,32,16,2432.25,2697.0,2245.0
1024,1024,1024,32,32,32,32,1486.65,1728.0,1405.0
1024,1024,1024,32,32,32,64,672.7,678.0,658.0
1024,1024,1024,32,32,32,128,459.7,483.0,454.0
1024,1024,1024,32,32,32,256,408.05,431.0,393.0
1024,1024,1024,32,64,8,16,2310.9,2663.0,2060.0
1024,1024,1024,32,64,8,32,1369.35,1520.0,1166.0
1024,1024,1024,32,64,8,64,950.8,1126.0,666.0
1024,1024,1024,32,64,8,128,527.65,548.0,516.0
1024,1024,1024,32,64,8,256,501.1,528.0,493.0
1024,1024,1024,32,64,16,16,2383.25,2955.0,2015.0
1024,1024,1024,32,64,16,32,1191.9,1653.0,1081.0
1024,1024,1024,32,64,16,64,930.55,1161.0,663.0
1024,1024,1024,32,64,16,128,501.6,792.0,475.0
1024,1024,1024,32,64,16,256,428.7,455.0,412.0
1024,1024,1024,32,64,32,16,2387.95,2644.0,2014.0
1024,1024,1024,32,64,32,32,1474.3,1633.0,1099.0
1024,1024,1024,32,64,32,64,787.1,1277.0,681.0
1024,1024,1024,32,64,32,128,524.95,824.0,457.0
1024,1024,1024,32,64,32,256,472.65,737.0,409.0
1024,1024,1024,32,64,64,16,2335.2,2586.0,2028.0
1024,1024,1024,32,64,64,32,1427.65,1710.0,1385.0
1024,1024,1024,32,64,64,64,649.8,659.0,645.0
1024,1024,1024,32,64,64,128,0.0,0.0,0.0
1024,1024,1024,32,128,8,16,2171.2,2871.0,1935.0
1024,1024,1024,32,128,8,32,0.0,0.0,0.0
1024,1024,1024,32,128,8,64,977.1,1344.0,680.0
1024,1024,1024,32,128,8,128,598.4,1065.0,516.0
1024,1024,1024,32,128,8,256,520.45,794.0,493.0
1024,1024,1024,32,128,16,16,2322.05,2535.0,1994.0
1024,1024,1024,32,128,16,32,1473.65,1763.0,1140.0
1024,1024,1024,32,128,16,64,650.9,700.0,635.0
1024,1024,1024,32,128,16,128,508.75,656.0,483.0
1024,1024,1024,32,128,16,256,543.45,759.0,426.0
1024,1024,1024,32,128,32,16,2228.05,2521.0,1954.0
1024,1024,1024,32,128,32,32,1360.8,1544.0,1106.0
1024,1024,1024,32,128,32,64,967.45,1295.0,631.0
1024,1024,1024,32,128,32,128,498.65,827.0,474.0
1024,1024,1024,32,128,32,256,396.55,436.0,380.0
1024,1024,1024,32,128,64,16,2282.75,2553.0,1918.0
1024,1024,1024,32,128,64,32,1248.35,1863.0,1041.0
1024,1024,1024,32,128,64,64,924.9,1314.0,626.0
1024,1024,1024,32,128,64,128,488.3,801.0,452.0
1024,1024,1024,32,128,128,16,2207.35,2629.0,1923.0
1024,1024,1024,32,128,128,32,1293.65,1721.0,1036.0
1024,1024,1024,32,128,128,64,960.9,1214.0,623.0
1024,1024,1024,32,256,8,16,1668.8,1697.0,1655.0
1024,1024,1024,32,256,8,32,944.1,957.0,937.0
1024,1024,1024,32,256,8,64,610.85,619.0,594.0
1024,1024,1024,32,256,8,128,516.45,536.0,510.0
1024,1024,1024,32,256,8,256,519.15,534.0,509.0
1024,1024,1024,32,256,16,16,1677.5,1694.0,1652.0
1024,1024,1024,32,256,16,32,1096.4,1426.0,919.0
1024,1024,1024,32,256,16,64,866.8,1189.0,570.0
1024,1024,1024,32,256,16,128,471.35,478.0,458.0
1024,1024,1024,32,256,16,256,482.1,795.0,454.0
1024,1024,1024,32,256,32,16,1981.65,2300.0,1694.0
1024,1024,1024,32,256,32,32,1298.15,1598.0,894.0
1024,1024,1024,32,256,32,64,666.4,1031.0,535.0
1024,1024,1024,32,256,32,128,421.05,504.0,414.0
1024,1024,1024,32,256,32,256,433.55,777.0,383.0
