m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,runner latency
1024,1024,1024,16,8,8,16,18795.9
1024,1024,1024,16,8,8,32,9606.5
1024,1024,1024,16,8,8,64,4934.3
1024,1024,1024,16,8,8,128,0.0
1024,1024,1024,16,8,8,256,0.0
1024,1024,1024,16,16,8,16,18576.1
1024,1024,1024,16,16,8,32,9568.15
1024,1024,1024,16,16,8,64,4784.05
1024,1024,1024,16,16,8,128,2595.4
1024,1024,1024,16,16,8,256,1558.5
1024,1024,1024,16,16,16,16,0.0
1024,1024,1024,16,16,16,32,4916.65
1024,1024,1024,16,16,16,64,2362.7
1024,1024,1024,16,16,16,128,1225.15
1024,1024,1024,16,16,16,256,691.35
1024,1024,1024,16,32,8,16,18439.2
1024,1024,1024,16,32,8,32,9491.55
1024,1024,1024,16,32,8,64,4795.35
1024,1024,1024,16,32,8,128,2537.9
1024,1024,1024,16,32,8,256,1557.15
1024,1024,1024,16,32,16,16,10147.5
1024,1024,1024,16,32,16,32,4806.2
1024,1024,1024,16,32,16,64,2684.75
1024,1024,1024,16,32,16,128,1239.6
1024,1024,1024,16,32,16,256,903.55
1024,1024,1024,16,32,32,16,5484.55
1024,1024,1024,16,32,32,32,2472.75
1024,1024,1024,16,32,32,64,1269.75
1024,1024,1024,16,32,32,128,927.2
1024,1024,1024,16,32,32,256,463.85
1024,1024,1024,16,64,8,16,18419.1
1024,1024,1024,16,64,8,32,9604.45
1024,1024,1024,16,64,8,64,4799.95
1024,1024,1024,16,64,8,128,2292.25
1024,1024,1024,16,64,8,256,1231.4
1024,1024,1024,16,64,16,16,10186.8
1024,1024,1024,16,64,16,32,5001.55
1024,1024,1024,16,64,16,64,2546.6
1024,1024,1024,16,64,16,128,1566.05
1024,1024,1024,16,64,16,256,751.5
1024,1024,1024,16,64,32,16,5753.7
1024,1024,1024,16,64,32,32,2785.55
1024,1024,1024,16,64,32,64,1644.45
1024,1024,1024,16,64,32,128,768.55
1024,1024,1024,16,64,32,256,482.25
1024,1024,1024,16,64,64,16,3006.75
1024,1024,1024,16,64,64,32,1692.6
1024,1024,1024,16,64,64,64,1025.65
1024,1024,1024,16,64,64,128,487.7
1024,1024,1024,16,128,8,16,18196.4
1024,1024,1024,16,128,8,32,9585.75
1024,1024,1024,16,128,8,64,4735.75
1024,1024,1024,16,128,8,128,2277.3
1024,1024,1024,16,128,8,256,1243.85
1024,1024,1024,16,128,16,16,10304.3
1024,1024,1024,16,128,16,32,5067.15
1024,1024,1024,16,128,16,64,2652.25
1024,1024,1024,16,128,16,128,1234.35
1024,1024,1024,16,128,16,256,701.2
1024,1024,1024,16,128,32,16,6015.45
1024,1024,1024,16,128,32,32,2753.35
1024,1024,1024,16,128,32,64,1609.3
1024,1024,1024,16,128,32,128,995.45
1024,1024,1024,16,128,32,256,477.4
1024,1024,1024,16,128,64,16,3050.05
1024,1024,1024,16,128,64,32,0.0
1024,1024,1024,16,128,64,64,1016.3
1024,1024,1024,16,128,64,128,455.15
1024,1024,1024,16,128,128,16,2741.45
1024,1024,1024,16,128,128,32,1648.5
1024,1024,1024,16,128,128,64,1063.85
1024,1024,1024,16,256,8,16,18820.4
1024,1024,1024,16,256,8,32,9490.9
1024,1024,1024,16,256,8,64,4675.1
1024,1024,1024,16,256,8,128,2640.1
1024,1024,1024,16,256,8,256,1405.85
1024,1024,1024,16,256,16,16,10070.8
1024,1024,1024,16,256,16,32,5540.85
1024,1024,1024,16,256,16,64,2693.25
1024,1024,1024,16,256,16,128,1531.2
1024,1024,1024,16,256,16,256,882.05
1024,1024,1024,16,256,32,16,0.0
1024,1024,1024,16,256,32,32,2536.1
1024,1024,1024,16,256,32,64,1294.2
1024,1024,1024,16,256,32,128,1018.55
1024,1024,1024,16,256,32,256,0.0
1024,1024,1024,16,256,64,16,2964.4
1024,1024,1024,16,256,64,32,1616.95
1024,1024,1024,16,256,64,64,762.55
1024,1024,1024,16,256,64,128,525.9
1024,1024,1024,16,256,128,16,2850.85
1024,1024,1024,16,256,128,32,1602.7
1024,1024,1024,16,256,128,64,979.05
1024,1024,1024,16,256,256,16,2675.4
1024,1024,1024,16,256,256,32,1668.4
1024,1024,1024,16,512,8,16,18491.8
1024,1024,1024,16,512,8,32,9591.65
1024,1024,1024,16,512,8,64,5124.65
1024,1024,1024,16,512,8,128,2636.05
1024,1024,1024,16,512,8,256,1596.1
1024,1024,1024,16,512,16,16,9974.15
1024,1024,1024,16,512,16,32,5333.6
1024,1024,1024,16,512,16,64,2748.85
1024,1024,1024,16,512,16,128,1518.55
1024,1024,1024,16,512,16,256,716.85
1024,1024,1024,16,512,32,16,5208.45
1024,1024,1024,16,512,32,32,2620.1
1024,1024,1024,16,512,32,64,1305.9
1024,1024,1024,16,512,32,128,705.85
1024,1024,1024,16,512,32,256,0.0
1024,1024,1024,16,512,64,16,2927.55
1024,1024,1024,16,512,64,32,1488.35
1024,1024,1024,16,512,64,64,793.55
1024,1024,1024,16,512,64,128,464.8
1024,1024,1024,16,512,128,16,2680.25
1024,1024,1024,16,512,128,32,1620.4
1024,1024,1024,16,512,128,64,0.0
1024,1024,1024,16,512,256,16,2748.85
1024,1024,1024,16,512,256,32,1664.5
1024,1024,1024,16,1024,8,16,19871.4
1024,1024,1024,16,1024,8,32,10557.8
1024,1024,1024,16,1024,8,64,5577.1
1024,1024,1024,16,1024,8,128,0.0
1024,1024,1024,16,1024,8,256,1690.65
1024,1024,1024,16,1024,16,16,12349.5
1024,1024,1024,16,1024,16,32,6548.75
1024,1024,1024,16,1024,16,64,3073.9
1024,1024,1024,16,1024,16,128,1861.15
1024,1024,1024,16,1024,16,256,1227.6
1024,1024,1024,16,1024,32,16,7018.3
