m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,32,32,8,32,1470.2,1729.0,1149.0
1024,1024,1024,32,32,8,64,651.5,694.0,629.0
1024,1024,1024,32,32,8,128,404.3,454.0,395.0
1024,1024,1024,32,32,8,256,318.1,323.0,300.0
1024,1024,1024,32,32,16,32,1316.25,1786.0,1143.0
1024,1024,1024,32,32,16,64,840.1,1267.0,651.0
1024,1024,1024,32,32,16,128,413.7,443.0,391.0
1024,1024,1024,32,32,16,256,307.75,323.0,292.0
1024,1024,1024,32,32,32,32,1149.65,1207.0,1116.0
1024,1024,1024,32,32,32,64,633.3,646.0,614.0
1024,1024,1024,32,32,32,128,395.3,421.0,384.0
1024,1024,1024,32,32,32,256,306.65,339.0,297.0
1024,1024,1024,32,64,8,32,1159.6,1432.0,846.0
1024,1024,1024,32,64,8,64,488.55,500.0,475.0
1024,1024,1024,32,64,8,128,336.05,341.0,324.0
1024,1024,1024,32,64,8,256,253.95,287.0,243.0
1024,1024,1024,32,64,16,32,1163.8,1437.0,834.0
1024,1024,1024,32,64,16,64,552.25,822.0,491.0
1024,1024,1024,32,64,16,128,338.75,381.0,316.0
1024,1024,1024,32,64,16,256,291.9,294.0,284.0
1024,1024,1024,32,64,32,32,1036.6,1305.0,849.0
1024,1024,1024,32,64,32,64,0.0,0.0,0.0
1024,1024,1024,32,64,32,128,335.3,349.0,322.0
1024,1024,1024,32,64,32,256,267.3,286.0,255.0
1024,1024,1024,32,64,64,32,960.75,1460.0,848.0
1024,1024,1024,32,64,64,64,516.95,743.0,491.0
1024,1024,1024,32,64,64,128,333.65,340.0,316.0
1024,1024,1024,32,128,8,32,1097.2,1317.0,830.0
1024,1024,1024,32,128,8,64,511.05,863.0,472.0
1024,1024,1024,32,128,8,128,369.15,640.0,319.0
1024,1024,1024,32,128,8,256,260.95,267.0,246.0
1024,1024,1024,32,128,16,32,937.45,1436.0,859.0
1024,1024,1024,32,128,16,64,745.55,1169.0,487.0
1024,1024,1024,32,128,16,128,343.75,366.0,336.0
1024,1024,1024,32,128,16,256,284.35,319.0,267.0
1024,1024,1024,32,128,32,32,1163.85,1507.0,828.0
1024,1024,1024,32,128,32,64,499.4,506.0,467.0
1024,1024,1024,32,128,32,128,330.15,339.0,305.0
1024,1024,1024,32,128,32,256,0.0,0.0,0.0
1024,1024,1024,32,128,64,32,1105.05,1441.0,833.0
1024,1024,1024,32,128,64,64,498.35,732.0,472.0
1024,1024,1024,32,128,64,128,337.4,360.0,326.0
1024,1024,1024,32,128,128,32,825.35,894.0,804.0
1024,1024,1024,32,128,128,64,503.5,814.0,466.0
1024,1024,1024,32,256,8,32,973.35,1263.0,824.0
1024,1024,1024,32,256,8,64,477.1,511.0,458.0
1024,1024,1024,32,256,8,128,352.8,739.0,320.0
1024,1024,1024,32,256,8,256,301.2,888.0,256.0
1024,1024,1024,32,256,16,32,941.5,1464.0,833.0
